# metric_direction: higher_is_better
iteration	commit	metric	delta	trigger_f1	tokens	guard	status	layer	description
0	baseline	100.0	+0.0	1.00	0	pass	baseline	-	initial baseline
1	-	100.0	+0.0	1.00	0	pass	exhausted	body	no improvement found
